Name of Person or Organization;Date of Gift;Value of Gift
FOUNDATION OF THE STATE UNIVERSITY OF;05.07.2008;$1,250
FRACTURED ATLAS;12.04.2007;$50
FRACTURED ATLAS;12/19/2007;$815
FRACTURED ATLAS;01.11.2008;$50
FRANCISCAN FRIARS OF THE;10.12.2007;$250
FRANCISCAN FRIARS OF THE;06.10.2008;$500
FRANCISCAN SISTERS OF THE POOR;3/17/2008;$1,000
FRANKLIN & MARSHALL COLLEGE;5/19/2008;$100
FRANKLIN & MARSHALL COLLEGE;06.10.2008;$2,000
FRED HUTCHINSON CANCER RESEARCH;12/19/2007;$50
FRED HUTCHINSON CANCER RESEARCH;3/17/2008;$1,500
FRED HUTCHINSON CANCER RESEARCH;7/23/2008;$350
FRED HUTCHINSON CANCER RESEARCH;09.05.2008;$150
FRICK COLLECTION;06.10.2008;$400
FRIENDS ACADEMY;12/19/2007;$2,000
FRIENDS CENTRAL SCHOOL CORPORATION;09.05.2008;$1,000
FRIENDS OF GREAT SWAMP NWR;4/25/2008;$100
FRIENDS OF HOBOKEN CHARTER SCHOOL INC;05.07.2008;$200
FRIENDS OF MIDCOAST MAINE;3/17/2008;$150
FRIENDS OF TEAM ACADEMY CHARTER SCHOOL;10/16/2007;$1,000
FRIENDS OF TEAM ACADEMY CHARTER SCHOOL;7/23/2008;$390
FRIENDS OF THE ANDERSON SCHOOL;03.03.2008;$500
FRIENDS OF THE ANDERSON SCHOOL;05.01.2008;$600
FRIENDS OF THE CHILDREN;10.05.2007;$2,000
FRIENDS OF THE CHILDREN;10/24/2007;$2,000
FRIENDS OF THE CHILDREN;05.01.2008;$50
FRIENDS OF THE GLEN RIDGE LIBRARY;05.01.2008;$125
FRIENDS OF THE HEWLETT WOODMERE LIBRARY;9/21/2007;$100
FRIENDS OF THE HIGH LINE;02.04.2008;$65
FRIENDS OF THE HIGH LINE;02.04.2008;$75
FRIENDS OF THE HIGH LINE;7/16/2008;$250
FRIENDS OF THE HIGH LINE;09.05.2008;$75
FRIENDS OF THE ISRAEL DEFENSE FORCES;02.04.2008;$600
FRIENDS OF THE MIDWEST THEATRE;05.07.2008;$100
FRIENDS OF THE SUMMIT SYMPHONY;09.05.2008;$300
FRIENDS SEMINARY;05.07.2008;$100
FRISCH SCHOOL;09.05.2008;$100
FROST VALLEY YMCA;12/19/2007;$2,000
FULLER CENTER FOR HOUSING INC;10.12.2007;$500
FULLER CENTER FOR HOUSING INC;11.06.2007;$1,000
FUND FOR COMMUNITY LEADERSHIP;11/15/2007;$1,875
FUNDFORARM;02.04.2008;$2,000
GALLATIN VALLEY LAND TRUST;02.04.2008;$250
GARDEN ACADEMY INC;12/19/2007;$100
GAY AND LESBIAN ALLIANCE AGAINST;12/27/2007;$30,000
GAY AND LESBIAN ALLIANCE AGAINST;02.04.2008;$1,500
GAY MENS HEALTH CRISIS;10.05.2007;$650
GAY MENS HEALTH CRISIS;10/24/2007;$650
GAY MENS HEALTH CRISIS;12/19/2007;$54
GAY MENS HEALTH CRISIS;05.07.2008;$50
GAY MENS HEALTH CRISIS;7/23/2008;$50
GAY MENS HEALTH CRISIS;09.05.2008;$125
GENESO FOUNDATION INC;07.02.2008;$125
GEORGE WASHINGTON UNIVERSITY;09.05.2008;$250
GEORGETOWN UNIVERSITY;02.04.2008;$300
GEORGETOWN UNIVERSITY;05.01.2008;$750
GEORGETOWN UNIVERSITY;05.07.2008;$500
GEORGETOWN UNIVERSITY;06.10.2008;$250
GEORGETOWN UNIVERSITY;7/16/2008;$2,000
GEORGETOWN UNIVERSITY;7/23/2008;$150
GEORGETOWN UNIVERSITY;09.05.2008;$200
GEORGETOWN UNIVERSITY                       ;10.05.2007;$100
GEORGETOWN UNIVERSITY                       ;10.05.2007;$2,750
GEORGETOWN UNIVERSITY                       ;10/23/2007;$3,750
GEORGETOWN UNIVERSITY                       ;10/24/2007;$500
GEORGETOWN UNIVERSITY                       ;12.04.2007;$1,000
GEORGETOWN UNIVERSITY                       ;12/19/2007;$2,260
GEORGIA TECH FOUNDATION;10.12.2007;$1,000
GEORGIA TECH FOUNDATION;12/13/2007;$508
GEORGIA TECH FOUNDATION;1/15/2008;$500
GERMANTOWN FRIENDS SCHOOL;09.05.2008;$500
GETTYSBURG COLLEGE;7/23/2008;$600
GILDAS CLUB WORLDWIDE;10/24/2007;$250
GILDAS CLUB WORLDWIDE;11/15/2007;$720
GIORDANO JAZZ DANCE CHICAGO;10/24/2007;$2,000
GIRL SCOUTS OF ROLLING HILLS;11/15/2007;$150
GIRL SCOUTS OF WESTCHESTER;10.05.2007;$445
GIRL SCOUTS OF WESTCHESTER;09.05.2008;$50
GIRLS WRITE NOW INC;5/20/2008;$100
GIRLS WRITE NOW INC;06.10.2008;$3,000
GLOBAL AIDS INTERFAITH ALLIANCE;02.04.2008;$1,500
GLOBAL ALLIANCE FOR AFRICA;06.02.2008;$150
GLOBAL KIDS;10.05.2007;$1,000
GLSEN;4/14/2008;$10,000
GLSEN;4/14/2008;$25,000
GLSEN;06.10.2008;$1,200
GLSEN;6/24/2008;$9,090
GOD'S LOVE WE DELIVER INC;02.04.2008;$110
GOD'S LOVE WE DELIVER, INC                 ;4/30/2008;$625
GOD'S LOVE WE DELIVER, INC                 ;05.07.2008;$250
GOD'S LOVE WE DELIVER, INC                 ;06.05.2008;$10,000
GOLDEN GATE AUDUBON;4/25/2008;$55
GOLDEN GATE AUDUBON;06.10.2008;$100
GONZAGA COLLEGE HIGH SCHOOL;02.04.2008;$2,000
GOOD SHEPHERD VOLUNTEERS;4/25/2008;$500
GOVERNOR DUMMER ACADEMY;10/24/2007;$2,000
GOVERNOR DUMMER ACADEMY;06.10.2008;$2,000
GRACE CHURCH COMMUNITY CENTER;05.01.2008;$100
GRACE CHURCH SCHOOL;4/25/2008;$1,500
GRACE CHURCH SCHOOL;09.05.2008;$1,000
GREAT SWAMP WATERSHED ASSOC;12/19/2007;$250
GREAT SWAMP WATERSHED ASSOC;06.10.2008;$100
GREAT SWAMP WATERSHED ASSOC;7/16/2008;$250
GREATER CHICAGO FOOD DEPOSITORY;05.01.2008;$450
GREATER MIAMI JEWISH FEDERATION;9/21/2007;$1,000
GREENS FARMS ACADEMY INC.;02.04.2008;$600
GREENWICH ACADEMY;02.04.2008;$2,000
GREENWICH ACADEMY;06.10.2008;$100
GREENWICH ACADEMY;7/23/2008;$2,000
GREENWICH COUNTRY DAY SCHOOL INC;02.04.2008;$300
GREGORY T SPAGNOLETTI MEMORIAL;03.03.2008;$200
GROTON SCHOOL;12.04.2007;$250
GROTON SCHOOL;7/16/2008;$500
GUIDING EYES FOR THE BLIND;05.07.2008;$100
HABITAT FOR HUMANITY;10.05.2007;$50
HABITAT FOR HUMANITY;05.01.2008;$75
HABITAT FOR HUMANITY;05.07.2008;$450
HABITAT FOR HUMANITY;06.10.2008;$150
HABITAT FOR HUMANITY;7/23/2008;$350
HABITAT FOR HUMANITY NEW YORK;10.12.2007;$250
HABITAT FOR HUMANITY NEW YORK;10/24/2007;$250
HABITAT FOR HUMANITY NEW YORK;02.04.2008;$600
HACKERS FOR HOPE;12/19/2007;$110
HACKLEY SCHOOL;11/15/2007;$2,000
HADASSAH MEDICAL RELIEF ASSOCIATION;05.01.2008;$100
HADASSAH MEDICAL RELIEF ASSOCIATION;05.07.2008;$200
HAMILTON COLLEGE;10.05.2007;$650
HAMILTON COLLEGE;11/15/2007;$250
HAMILTON COLLEGE;12/19/2007;$525
HAMILTON COLLEGE;05.01.2008;$2,000
HAMILTON COLLEGE;05.07.2008;$550
HAMILTON COLLEGE;06.10.2008;$500
HANDCART ENSEMBLE INC;4/25/2008;$400
HARLEM CHILDREN'S ZONE;7/23/2008;$500
HARRISON EDUCATIONAL FOUNDATION;11/15/2007;$1,500
HARTWICK COLLEGE;3/17/2008;$750
HARTWICK COLLEGE;7/23/2008;$1,250
HARVARD PIERIAN FOUNDATION;07.02.2008;$100
HARVARD UNIVERSITY;9/27/2007;$7,500
HARVARD UNIVERSITY;10.05.2007;$550
HARVARD UNIVERSITY;10/18/2007;$1,200
HARVARD UNIVERSITY;10/18/2007;$1,600
HARVARD UNIVERSITY;10/18/2007;$1,600
HARVARD UNIVERSITY;10/24/2007;$2,300
HARVARD UNIVERSITY;11.09.2007;$400
HARVARD UNIVERSITY;11.09.2007;$800
HARVARD UNIVERSITY;11/15/2007;$50
HARVARD UNIVERSITY;11/20/2007;$6,600
HARVARD UNIVERSITY;01.10.2008;$50
HARVARD UNIVERSITY;02.04.2008;$2,000
HARVARD UNIVERSITY;3/27/2008;$1,600
HARVARD UNIVERSITY;3/27/2008;$1,600
HARVARD UNIVERSITY;3/27/2008;$2,400
HARVARD UNIVERSITY;05.01.2008;$12,500
HARVARD UNIVERSITY;5/16/2008;$500
HARVARD UNIVERSITY;5/16/2008;$500
HARVARD UNIVERSITY;5/16/2008;$500
HARVARD UNIVERSITY;5/16/2008;$500
HARVARD UNIVERSITY;5/16/2008;$500
HARVARD UNIVERSITY;5/16/2008;$500
HARVARD UNIVERSITY;5/30/2008;$500
HARVARD UNIVERSITY;5/30/2008;$500
HARVARD UNIVERSITY;5/30/2008;$500
HARVARD UNIVERSITY;7/16/2008;$2,000
HARVARD UNIVERSITY;08.12.2008;$1,250
HARVARD UNIVERSITY;08.12.2008;$1,250
HARVARD UNIVERSITY;08.12.2008;$1,250
HARVARD UNIVERSITY;8/22/2008;$6,600
HARVARD UNIVERSITY;8/22/2008;$7,500
HARVARD UNIVERSITY;8/22/2008;$7,500
HARVARD UNIVERSITY;8/22/2008;$7,500
HARVARD UNIVERSITY;8/22/2008;$7,500
HARVARD WESTLAKE SCHOOL;05.07.2008;$300
HATHAWAY BROWN SCHOOL;10.12.2007;$100
HATTIE LARLHAM FOUNDATION;07.02.2008;$250
HAVERFORD COLLEGE;1/15/2008;$2,000
HBS WOMEN'S STUDENT ASSOC;4/21/2008;$1,500
HBS WOMEN'S STUDENT ASSOC;4/21/2008;$3,000
HEBREW ACADEMY OF LONG BEACH;02.04.2008;$2,000
HEBREW ACADEMY OF THE FIVE TOWNS;05.07.2008;$900
HEBREW COLLEGE;10.12.2007;$500
HEBREW FREE BURIAL ASSOCIATION;3/17/2008;$200
HEBREW FREE LOAN SOCIETY;10.05.2007;$2,000
HEBREW FREE LOAN SOCIETY;7/16/2008;$2,000
HEBREW HOME FOR THE AGED AT;12/19/2007;$700
HEIFER PROJECT INTERNATIONAL;05.01.2008;$250
HEIFER PROJECT INTERNATIONAL;05.07.2008;$1,075
HEREDITARY DISEASE FOUNDATION;07.02.2008;$100
HETRICK-MARTIN INSTITUTE;10/24/2007;$250
HETRICK-MARTIN INSTITUTE;7/16/2008;$2,000
HETRICK-MARTIN INSTITUTE;7/23/2008;$1,000
HILL SCHOOL;05.01.2008;$2,000
HILL SCHOOL;7/23/2008;$100
HILLEL THE FOUNDATION FOR;5/20/2008;$500
HILLEL THE FOUNDATION FOR;7/23/2008;$500
HILLSBOROUGH SCHOOLS FDN;10.05.2007;$900
HILLSBOROUGH SCHOOLS FDN;02.04.2008;$850
HIMALAYAN CATARACT PROJECT INC;10.12.2007;$200
HISPANI                                     ;3/31/2008;$5,000
HISPANIC ASSOCIATION ON CORPORATE;6/30/2008;$7,500
HISPANIC FEDERATION;05.12.2008;$10,000
HISPANIC FEDERATION;5/23/2008;$10,000
HISTIOCYTOSIS ASSOC OF AMERICA INC;5/20/2008;$100
HITOPS NC;10.12.2007;$500
HIV LAW PROJECT INC;10.05.2007;$500
HIV LAW PROJECT INC;09.05.2008;$500
HOAG HOSPITAL FOUNDATION;02.04.2008;$250
HOCKADAY SCHOOL;09.05.2008;$2,000
HOFSTRA UNIVERSITY;09.05.2008;$2,000
HOLDERNESS SCHOOL;4/25/2008;$2,000
HOLE IN THE WALL GANG CAMP;12.04.2007;$75
HOLE IN THE WALL GANG CAMP;12/19/2007;$1,950
HOLE IN THE WALL GANG CAMP;01.11.2008;$50
HOLE IN THE WALL GANG CAMP;09.05.2008;$2,000
HOLLINGWORTH CENTER;12/19/2007;$300
HOLMDEL FOUNDATION FOR EDUCATIONAL;5/20/2008;$250
HOLMDEL YOUTH ACTIVITIES ASSOCIATION;03.03.2008;$400
HOMEBOY INDUSTRIES;4/25/2008;$1,000
HOMES FOR OUR TROOPS INC.;02.04.2008;$900
HOMES FOR OUR TROOPS INC.;05.01.2008;$100
HONG KONG DRAGON BOAT FESTIVAL IN NY INC;5/14/2008;$900
HONG KONG DRAGON BOAT FESTIVAL IN NY INC;6/27/2008;$450
HOPE FOR NEW YORK;10/24/2007;$1,000
HOPE FOR NEW YORK;02.04.2008;$1,000
HOPE FOR NEW YORK;05.01.2008;$100
HOPE FOR NEW YORK;06.10.2008;$50
HOPE FOR NEW YORK;09.05.2008;$100
HOPE FOR THE WARRIORS;9/21/2007;$1,000
HOPE MINISTRIES INTERNATIONAL;1/22/2008;$2,000
HOPE MINISTRIES INTERNATIONAL;7/23/2008;$2,000
HOPEFRAMES;10/29/2007;$38
HOPEFRAMES;10/29/2007;$100
HORACE GREELEY EDUCATION FUND INC;06.10.2008;$625
HORACE GREELEY EDUCATION FUND INC;7/23/2008;$170
HORACE MANN SCHOOL;10/24/2007;$500
HORACE MANN SCHOOL;05.01.2008;$1,500
HOSPICE CARE NETWORK;3/17/2008;$500
HOSPICE OF BALTIMORE INC;01.10.2008;$100
HOTCHKISS SCHOOL;10.05.2007;$1,000
HOTCHKISS SCHOOL;05.01.2008;$1,250
HOUSING ASSISTANCE CORP;9/21/2007;$200
HOUSTON FOOD BANK;05.01.2008;$400
HOUSTON SYMPHONY;10.05.2007;$750
HOUSTON YOUTH SYMPHONY AND BALLET;09.05.2008;$750
HOWARD UNIVERSITY;8/22/2008;$10,000
HUAXIA CHINESE SCHOOL;1/15/2008;$100
HUAXIA CHINESE SCHOOL;05.07.2008;$800
HUDSON SCHOOL;11/15/2007;$500
HUDSON SCHOOL;05.01.2008;$700
HUDSON SCHOOL;09.05.2008;$750
HUMAN NEEDS FOOD PANTRY;02.04.2008;$100
HUMAN NEEDS FOOD PANTRY;05.01.2008;$250
HUMANE SOCIETY OF THE UNITED STATES;10.05.2007;$750
HUMANE SOCIETY OF THE UNITED STATES;11/15/2007;$50
HUMANE SOCIETY OF THE UNITED STATES;02.04.2008;$150
HUMANE SOCIETY OF THE UNITED STATES;05.07.2008;$100
HUN SCHOOL OF PRINCETON;05.01.2008;$125
HUNTER COLLEGE SCHOOL PTA;05.07.2008;$800
HUNTER COLLEGE SCHOOL PTA;09.05.2008;$500
HUNTSMAN CANCER INSTITUTE FOUNDATION;5/20/2008;$500
HUNTSMAN CANCER INSTITUTE FOUNDATION;06.10.2008;$500
ID THEATRE;7/16/2008;$200
IDAHO STATE UNIVERSITY FOUNDATION;3/17/2008;$500
IMENTOR INC;11/20/2007;$30,000
IMENTOR INC;05.07.2008;$600
IMMACULATE HEART ACADEMY;7/23/2008;$100
INDIAN AMERICAN FOUNDATION;12/19/2007;$2,501
INMOTION INC;10.09.2007;$15,000
INNER CITY MUSLIM ACTION NETWORK;5/20/2008;$200
INNOCENCE PROJECT INC;10/24/2007;$100
INROADS, INC                            ;7/31/2008;$2,500
INROADS, INC                            ;7/31/2008;$36,000
INSTITUTE FOR ADVANCED STUDY;7/16/2008;$2,000
INSTITUTE FOR DOMESTICE;9/21/2007;$1,000
INSTITUTE FOR JUSTICE;01.10.2008;$2,000
INSTITUTE FOR JUSTICE;05.07.2008;$100
INSTITUTE FOR STUDENT ACHIEVEMENT;7/16/2008;$1,000
INSTITUTE FOR STUDENT ACHIEVEMENT;7/23/2008;$1,500
INSTITUTE OF INTERNATIONAL;7/30/2008;$150,000
INSTITUTE OF INTERNATIONAL;09.05.2008;$1,700
INTERNATIONAL BRAIN RESEARCH;07.02.2008;$200
INTERNATIONAL CENTER;4/25/2008;$900
INTERNATIONAL FUND FOR ANIMAL WELFARE;12/19/2007;$50
INTERNATIONAL FUND FOR ANIMAL WELFARE;05.01.2008;$50
INTERNATIONAL GAY AND LESBIAN HUMAN;7/16/2008;$2,000
INTERNATIONAL GAY AND LESBIAN HUMAN;09.05.2008;$2,000
INTERNATIONAL MEDICAL CORPS;10.03.2007;$100
INTERNATIONAL PLANNED PARENTHOOD;02.04.2008;$200
INTERNATIONAL PRESCHOOLS;02.04.2008;$50
INTERNATIONAL PRESCHOOLS;05.01.2008;$2,000
INTERNATIONAL RESCUE COMMITTEE;10.05.2007;$50
INTERNATIONAL RESCUE COMMITTEE;05.01.2008;$250
INTO THE OUTSIDE;1/15/2008;$100
INTO THE OUTSIDE;05.01.2008;$50
IONA COLLEGE;7/23/2008;$2,000
IONA PREPARATORY SCHOOL;05.01.2008;$1,000
ISLES INC;03.03.2008;$2,000
ITHACA COLLEGE;9/24/2007;$100
IVY COUNCIL;2/26/2008;$1,000
IVY COUNCIL;2/26/2008;$1,250
IVY COUNCIL;2/26/2008;$1,500
IVY COUNCIL;4/25/2008;$695
JACKSON PREPARATORY SCHOOL FOUNDATION;7/16/2008;$100
JADENS LADDER;06.02.2008;$250
JANSEN MEMORIAL HOSPITAL;06.10.2008;$250
JAPANESE AMERICAN NATIONAL;07.02.2008;$100
JASON PROGRAM;9/24/2007;$250
JEANNINE DAMIANI-JONES MEMORIAL;10/24/2007;$500
JERICHO PROJECT;10.05.2007;$2,000
JERSEY CARES;04.08.2008;$170
JERSEY CARES;4/25/2008;$15,000
JERUSALEM FOUNDATION;12.04.2007;$620
JEWISH BOARD OF FAMILY AND CHILDREN'S;05.01.2008;$2,000
JEWISH COMMUNITY PROJECT OF LOWER;01.10.2008;$2,000
JEWISH COUNCIL FOR YOUTH;10.05.2007;$2,000
JEWISH COUNCIL FOR YOUTH;06.10.2008;$2,000
JEWISH ENRICHMENT CENTER;3/17/2008;$1,190
JEWISH FAMILY & CHILDRENS SERVICE;12/19/2007;$200
JEWISH FAMILY & CHILDRENS SERVICES;12/19/2007;$1,250
JEWISH FAMILY & VOCATIONAL;05.01.2008;$500
JEWISH FAMILY SERVICES;02.04.2008;$500
JEWISH FEDERATION OF GREATER MIDDLESEX C;05.01.2008;$360
JEWISH FEDERATION OF PALM BEACH COUNTY;05.01.2008;$2,000
JEWISH HERITAGE CENTER OF;3/17/2008;$150
JEWISH STUDENT CENTER;03.03.2008;$750
JFR;05.01.2008;$500
JOFFREY BALLET;11/15/2007;$4,000
JOHN HOPKINS UNIVERSITY;10/24/2007;$250
JOHN HOPKINS UNIVERSITY;5/14/2008;$2,000
JOHN JAY COLLEGE;5/20/2008;$100
JOHN THOMAS DYE SCHOOL;12/19/2007;$2,000
JOHN THOMAS DYE SCHOOL;7/16/2008;$2,000
JOHNS HOPKINS UNIVERSITY;09.05.2008;$50
JOSEPH KUSHNER HEBREW ACADEMY;01.10.2008;$1,850
JUILLIARD SCHOOL OF MUSIC;05.07.2008;$100
JULLIARD SCHOOL;12/19/2007;$750
JUNIOR ACHIEVEMENT;10/16/2007;$50
JUNIOR ACHIEVEMENT;10/16/2007;$200
JUNIOR ACHIEVEMENT OF NEW;7/23/2008;$50
JUNIOR LEAGUE OF CHICAGO;02.04.2008;$500
JUNIOR LEAGUE OF HOUSTON INC;05.01.2008;$250
JUNIOR LEAGUE OF MONTCLAIR NEWARK;07.02.2008;$2,500
JUST TELL;3/17/2008;$200
JUVENILE BIPOLAR RESEARCH FOUNDATION;7/16/2008;$2,000
JUVENILE DIABETES FOUNDATION;10.05.2007;$100
JUVENILE DIABETES FOUNDATION;10/24/2007;$250
JUVENILE DIABETES FOUNDATION;12/19/2007;$100
JUVENILE DIABETES FOUNDATION;02.04.2008;$100
JUVENILE DIABETES FOUNDATION;09.05.2008;$100
JUVENILE DIABETES RESEARCH FOUND. INTL;11/15/2007;$100
JUVENILE DIABETES RESEARCH FOUND. INTL;11/15/2007;$250
JUVENILE DIABETES RESEARCH FOUND. INTL;12/13/2007;$2,850
JUVENILE DIABETES RESEARCH FOUND. INTL;12/19/2007;$50
JUVENILE DIABETES RESEARCH FOUND. INTL;12/19/2007;$100
JUVENILE DIABETES RESEARCH FOUND. INTL;02.04.2008;$5,850
JUVENILE DIABETES RESEARCH FOUND. INTL;05.07.2008;$500
JUVENILE DIABETES RESEARCH FOUND. INTL;09.05.2008;$1,000
JUVENILE DIABETES RESEARCH FOUNDATION;9/21/2007;$200
JUVENILE DIABETES RESEARCH FOUNDATION;10.05.2007;$405
JUVENILE DIABETES RESEARCH FOUNDATION;12/19/2007;$400
JUVENILE DIABETES RESEARCH FOUNDATION;02.04.2008;$50
JUVENILE DIABETES RESEARCH FOUNDATION;02.04.2008;$350
JUVENILE DIABETES RESEARCH FOUNDATION;02.04.2008;$1,100
JUVENILE DIABETES RESEARCH FOUNDATION;05.07.2008;$200
JUVENILE DIABETES RESEARCH FOUNDATION;06.10.2008;$250
JUVENILE DIABETES RESEARCH FUND;10/24/2007;$50
JUVENILE DIABETES RESEARCH FUND;12/19/2007;$175
KALEIDOSCOPE OF HOPE FOUNDATION INC;12/19/2007;$500
KASHMIRI OVERSEAS ASSOCIATION INC;01.10.2008;$50
KASHMIRI OVERSEAS ASSOCIATION INC;01.11.2008;$2,000
KATE SVITEK MEMORIAL FOUNDATION;10/24/2007;$100
KEEN THEATRE COMPANY;07.02.2008;$250
KELLOGG GRADUATE SCHOOL OF MANAGEMENT;10/24/2007;$50
KELLOGG GRADUATE SCHOOL OF MANAGEMENT;10/29/2007;$1,000
KELLOGG SCHOOL OF MANAGEMENT;09.08.2008;$200
KELLOGG SCHOOL OF MANAGEMENT;09.08.2008;$400
KENT SCHOOL;05.07.2008;$500
KENYON COLLEGE;10.05.2007;$1,000
KENYON COLLEGE;05.01.2008;$2,000
KETTERING UNIVERSITY;12/19/2007;$500
KIDS GLOBAL NETWORK;07.02.2008;$2,000
KING & LOW - HEYWOOD THOMAS SCHOOLS;06.10.2008;$2,000
KING MURPHY PTA;03.03.2008;$200
KIPP ACADEMY;10.12.2007;$2,000
KIPP ACADEMY;7/16/2008;$2,000
KIPP BAYVIEW ACADEMY;5/14/2008;$850
KITTYKIND;06.10.2008;$100
KIVA MICROFUNDS;10.12.2007;$2,000
KNIGHTS OF COLUMBUS;5/20/2008;$1,000
KNOX COUNTY ASSOC FOR RETARDED CITIZENS;3/17/2008;$1,100
KQED INC;10.05.2007;$500
KYL DANCERS INC;5/20/2008;$250
LA CANADA FLINTRIDGE EDUCATIONAL;06.02.2008;$2,000
LA JOLLA COUNTRY DAY SCHOOL;05.07.2008;$2,000
LA JOLLA COUNTRY DAY SCHOOL;7/16/2008;$50
LA RABIDA CHILDRENS HOSPITAL;5/14/2008;$1,000
LA SALLE ACADEMY;03.03.2008;$500
LA SALLE UNIVERSITY;11/15/2007;$100
LADACIN NETWORK;10/24/2007;$2,000
LADACIN NETWORK;05.07.2008;$2,000
LADACIN NETWORK;5/14/2008;$500
LAFAYETTE COLLEGE;9/21/2007;$100
LAFAYETTE COLLEGE;1/22/2008;$100
LAKEWOOD CHEDAR SCHOOL;05.01.2008;$500
LAMBDA LEGAL DEFENSE;1/22/2008;$50
LAMBDA LEGAL DEFENSE;05.07.2008;$50
LAMBDA LEGAL DEFENSE;5/14/2008;$500
LAMPLIGHTER SCHOOL;05.07.2008;$1,000
LANCE ARMSTRONG FOUNDATION;11/15/2007;$450
LANCE ARMSTRONG FOUNDATION;12/19/2007;$650
LANCE ARMSTRONG FOUNDATION;05.01.2008;$300
LANCE ARMSTRONG FOUNDATION;5/14/2008;$100
LANCE ARMSTRONG FOUNDATION;09.05.2008;$50
LANS FRIENDS FOUNDATION;03.03.2008;$500
LANS FRIENDS FOUNDATION;4/25/2008;$2,600
LANS FRIENDS FOUNDATION;05.01.2008;$500
LARCHMONT MAMARONECK HUNGER;07.02.2008;$100
LATIN SCHOOL OF CHICAGO;12.04.2007;$1,000
LAUREL HOUSE MIDDLESEX;8/29/2008;$2,000
LEADERSHIP EDGE INC;05.07.2008;$2,000
LEADERSHIP EDUCATION AND DEVELOPMENT;10.05.2007;$25,000
LEADERSHIP EDUCATION AND DEVELOPMENT;07.03.2008;$25,000
LEHIGH UNIVERSITY;10.05.2007;$500
LEHIGH UNIVERSITY;10/24/2007;$2,000
LEHIGH UNIVERSITY;02.04.2008;$1,000
LEHIGH UNIVERSITY;5/14/2008;$500
LEHIGH UNIVERSITY;7/23/2008;$200
LESBIAN & GAY COMMUNITY SERVICES CTR;03.03.2008;$493
LESBIANGA;10/24/2007;$525
LETS BREAKTHROUGH;12/19/2007;$2,000
LETS BREAKTHROUGH;4/25/2008;$2,000
LEUKEMIA;01.10.2008;$50
LEUKEMIA;01.10.2008;$150
LEUKEMIA;02.04.2008;$75
LEUKEMIA;02.04.2008;$2,035
LEUKEMIA;3/17/2008;$50
LEUKEMIA;4/25/2008;$100
LEUKEMIA;05.01.2008;$100
LEUKEMIA;05.01.2008;$150
LEUKEMIA;05.01.2008;$200
LEUKEMIA;05.01.2008;$400
LEUKEMIA;05.01.2008;$450
LEUKEMIA;05.07.2008;$50
LEUKEMIA;05.07.2008;$100
LEUKEMIA;05.07.2008;$175
LEUKEMIA;05.07.2008;$300
LEUKEMIA;05.07.2008;$4,185
LEUKEMIA;5/14/2008;$50
LEUKEMIA;5/14/2008;$50
LEUKEMIA;5/14/2008;$100
LEUKEMIA;5/14/2008;$100
LEUKEMIA;5/14/2008;$750
LEUKEMIA;5/14/2008;$3,035
LEUKEMIA;5/19/2008;$50
LEUKEMIA;5/19/2008;$75
LEUKEMIA;5/19/2008;$100
LEUKEMIA;5/19/2008;$100
LEUKEMIA;5/19/2008;$100
LEUKEMIA;5/19/2008;$400
LEUKEMIA;5/19/2008;$600
LEUKEMIA;5/19/2008;$875
LEUKEMIA;5/19/2008;$1,125
LEUKEMIA;5/19/2008;$1,350
LEUKEMIA;5/19/2008;$1,850
LEUKEMIA;5/19/2008;$26,439
LEUKEMIA;5/23/2008;$50
LEUKEMIA;5/23/2008;$50
LEUKEMIA;5/23/2008;$100
LEUKEMIA;5/23/2008;$100
LEUKEMIA;5/23/2008;$100
LEUKEMIA;5/23/2008;$200
LEUKEMIA;5/23/2008;$250
LEUKEMIA;5/23/2008;$275
LEUKEMIA;5/23/2008;$300
LEUKEMIA;5/23/2008;$550
LEUKEMIA;5/23/2008;$1,125
LEUKEMIA;5/23/2008;$1,300
LEUKEMIA;5/23/2008;$1,975
LEUKEMIA;5/23/2008;$2,100
LEUKEMIA;5/23/2008;$2,186
LEUKEMIA;5/23/2008;$3,246
LEUKEMIA;5/23/2008;$12,550
LEUKEMIA;5/23/2008;$21,157
LEUKEMIA;06.02.2008;$50
LEUKEMIA;06.02.2008;$100
LEUKEMIA;06.04.2008;$555
LEUKEMIA;06.04.2008;$600
LEUKEMIA;7/16/2008;$50
LEUKEMIA;08.01.2008;$100
LEUKEMIA;08.01.2008;$200
LEUKEMIA;08.01.2008;$395
LEUKEMIA;08.01.2008;$650
LEUKEMIA;08.01.2008;$1,450
LEUKEMIA;08.01.2008;$1,920
LEUKEMIA;08.01.2008;$2,000
LEUKEMIA;08.01.2008;$4,307
LEUKEMIA;08.01.2008;$30,358
LEUKEMIA;08.05.2008;$75
LEUKEMIA;08.05.2008;$350
LEUKEMIA;08.05.2008;$600
LEUKEMIA;08.05.2008;$750
LEUKEMIA;08.05.2008;$775
LEUKEMIA;08.05.2008;$956
LEUKEMIA;08.05.2008;$1,010
LEUKEMIA;08.05.2008;$2,495
LEUKEMIA;09.05.2008;$100
LEUKEMIA;09.05.2008;$100
LEUKEMIA & LYMPHOMA SOCIETY;10.05.2007;$50
LEUKEMIA & LYMPHOMA SOCIETY;10.05.2007;$50
LEUKEMIA & LYMPHOMA SOCIETY;10.05.2007;$50
